"matricula" "Álgebra.Linear.I" "Álgebra.Vetorial.e.Geometria.Analítica" "Análise.e.Técnica.de.Algoritmos" "Aval..de.Desempenho.de.Sistemas.Discretos" "Banco.de.Dados.I" "Banco.de.Dados.II" "Cálculo.Diferencial.e.Integral.I" "Cálculo.Diferencial.e.Integral.II" "Compiladores" "Direito.e.Cidadania" "Engenharia.de.Software.I" "Estrutura.de.Dados.e.Algoritmos" "Fundamentos.de.Física.Clássica" "Fundamentos.de.Física.Moderna" "Gerência.da.Informação" "Informática.e.Sociedade" "Inteligência.Artificial.I" "Interconexão.de.Redes.de.Computadores" "Introdução.à.Computação" "Lab..de.Estrutura.de.Dados.e.Algoritmos" "Lab..de.Intercon..de.Redes.de.Computadores" "Lab..de.Org..e.Arquitetura.de.Computadores" "Laboratório.de.Engenharia.de.Software" "Laboratório.de.Programação.I" "Laboratório.de.Programação.II" "Leitura.e.Produção.de.Textos" "Lógica.Matemática" "Matemática.Discreta" "Métodologia.Científica" "Métodos.e.Software.Numéricos" "Métodos.Estatisticos" "Org..e.Arquitetura.de.Computadores.I" "Paradigmas.de.Ling..de.Programação" "Probabilidade.e.Estatistica" "Programação.I" "Programação.II" "Projeto.em.Computação.I" "Projeto.em.Computação.II" "Redes.de.Computadores" "Sistemas.de.Informação.I" "Sistemas.de.Informação.II" "Sistemas.Operacionais" "Teoria.da.Computação" "Teoria.dos.Grafos" "cra"
"230" "311621869" 7 8 8.9 7.6 9 7.6 7.8 6.3 7.2 9.8 8.6 7.2 8.6 8.1 8.4 8.5 9 8.2 9.8 9.1 8.2 9.9 9 9.1 9.2 9.2 9.2 8.1 8 8 8.2 7.9 9.5 6 7.6 8.1 8.2 8.9 8.5 9.2 7.3 8.3 7.1 8.3 8.30941176470588
"231" "311621871" 8.1 7.1 7.7 9.7 7 5.9 5.3 5 7.3 8.8 8.9 5.2 7 7.5 8.7 9 7.5 7 8 9.1 7 9.8 8 7.8 9.2 9.5 7 6.5 7 8.5 6.2 9.3 6.5 5 9.1 8.1 8.5 8.5 7.3 8.4 6 7.6 5.1 8.2 7.43483146067416
"232" "312621857" 10 8.4 9.5 8.5 7 8.3 7.2 5.8 7.8 9.8 9.3 7.4 7 7.5 8.7 8.9 7.9 8.4 8.1 9.4 8.4 9.8 8.7 9.6 9.3 9.5 10 9.6 8 7.8 8.2 9.4 7.9 7.3 8.9 9 9.2 9.4 8.3 9.8 7.6 8.3 7.2 8.8 8.52235294117647
"233" "312621858" 6.8 7.6 7.5 8.4 8.4 7.1 6.1 5 7.5 9.8 8.8 6 7.3 8 8.4 8.9 8.4 7.6 8.8 7.8 7.6 8.9 8.7 7.6 9.2 9.8 9.2 7 9.5 8.2 8.1 7.9 8.5 6.1 8 8.8 9.2 9.4 8.7 9.6 7.3 9 9.8 7.4 8.03218390804598
"234" "312621862" 9 10 9.5 9.5 8.8 8.9 8.6 8.7 9.6 7.3 10 8.3 8.6 9.4 8.8 8.3 9.3 8.6 9.6 9.7 8.6 9.3 9.2 8.3 9.7 9.8 10 8.8 9.5 8.2 10 9 8.2 8.2 7.9 9.5 10 10 9.4 9.4 9 9.7 7.6 9.2 9.09058823529412
"235" "312621863" 8 8.8 7.2 8.5 6.4 6.7 7.3 5.7 7.4 7 8.8 7.1 7 9.2 7.9 9.4 8.2 7.5 9 5.5 7.5 8.3 8.7 7 9.2 9.6 8.2 5.4 8.5 7.8 8.1 8 5 6.3 7.7 7.4 8.5 8.4 6.9 8.1 7.1 6.3 7.2 7 7.59294117647059
"236" "313621856" 8.2 9.3 7.3 9.5 9.5 8.2 7.5 6.5 8.5 9.6 8.8 7.1 7.4 9.5 8.3 9.3 9.2 7.6 9.2 8.8 7.6 8.6 8.3 8.6 9.4 9.4 8.4 8.4 7.7 8 10 9.2 6.2 7.2 8.1 9.1 10 10 8.8 9.8 8.3 7.4 8.4 7.9 8.53058823529412
"237" "313621857" 5 6.4 7.1 7.3 6.8 7.3 7.2 5.2 7 9.8 8.4 5.3 7 8.1 8.7 9 8.8 7 8.9 8.5 7 8.1 9.4 8 9.1 9.1 5.6 7 8.7 8.8 6.8 6.5 9.4 8.2 8.2 8.6 8.7 8.2 7.2 8.5 7 6.1 5 8.6 7.2258064516129
"239" "313621861" 7.8 7.7 8.6 9.3 8.6 8.5 7.5 8 7.3 9.8 7.3 7.5 7 8.1 8 9.3 8 7 8.5 9.1 7 9.7 8.3 7.8 9.3 9.5 9 8.1 7 7.1 9.3 8.9 7.8 7 8.6 9.3 9 8.7 8.2 9.8 7 7.9 8.4 7.7 8.27058823529412
"241" "313621868" 7 9.4 8.1 7.1 7.8 5.3 6.1 5.6 7 9.8 7.1 7.1 7.3 5.3 8 9.5 8.1 8.5 9.3 8.9 8.5 8.6 8.3 9.3 9.6 9.2 7.3 8.2 7.5 7.1 7.7 7.1 9 5.8 9.1 9 7.9 8.3 7.5 9.7 6.5 7 6.1 8.5 7.80823529411765
"256" "3167746863" 7.4 9.7 9.4 7.7 6.7 6.7 8.9 8.7 8.6 8.4 8.4 8 5.7 9.1 6.9 7.7 8 7 8.8 8.6 7 9.5 8.1 9.1 8 8 8.8 7.9 7.3 8.4 9.6 8 7 7.8 9.1 9.2 8 8.2 6.6 8.3 8.1 7.7 8.5 9.8 8.14588235294118
